"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","E2E Security Tests","0","DANGEROUS_COMMAND","1","0","DANGCMD_RMRF_001","0"
"0","E2E Security Tests","0","EDGE_CASES","1","0","EDGE_10KB_UNDER_001","0"
"0","E2E Security Tests","0","BENIGN","1","0","BENIGN_SI_BASH_001","0"
"0","E2E Security Tests","0","DANGEROUS_COMMAND","1","0","DANGCMD_CHMOD_001","0"
"0","E2E Security Tests","0","BENIGN","1","0","BENIGN_MSG_001","0"
"0","E2E Security Tests","0","EDGE_CASES","1","0","EDGE_TERMINAL_SHELLINJ_001","0"
"0","E2E Security Tests","0","DANGEROUS_COMMAND","1","0","DANGCMD_FORKBOMB_001","0"
"0","E2E Security Tests","0","BENIGN","1","0","BENIGN_WE_NOTOOL_001","0"
"0","E2E Security Tests","0","PLAINTEXT_THREATS","1","0","PLAIN_SHELLINJ_001","0"
"0","E2E Security Tests","0","SHELL_INJECTION","1","0","SHELLINJ_BACKTICK_001","0"
"0","E2E Security Tests","0","WORKSPACE_ESCAPE","1","0","ESCAPE_ROOT_001","0"
"0","E2E Security Tests","0","BENIGN","1","0","BENIGN_GIT_001","0"
"0","E2E Security Tests","0","EDGE_CASES","1","0","EDGE_10KB_OVER_001","0"
"0","E2E Security Tests","0","AGENT_RUNAWAY","1","0","RUNAWAY_INFINITE_001","0"
"0","E2E Security Tests","0","SUSPICIOUS_CONFIG","1","0","CONFIG_ALLOWALL_001","0"
"0","E2E Security Tests","0","PLAINTEXT_THREATS","1","0","PLAIN_KV_DANGER_001","0"
"0","E2E Security Tests","0","UNAUTHORIZED_MODEL","1","0","MODEL_CUSTOM_001","0"
"0","E2E Security Tests","0","EDGE_CASES","1","0","EDGE_10KB_EXACT_001","0"
"0","E2E Security Tests","0","BENIGN","1","0","BENIGN_DE_NOTRANSFER_001","0"
"0","E2E Security Tests","0","WORKSPACE_ESCAPE","1","0","ESCAPE_PROC_001","0"
"0","E2E Security Tests","0","COMPOSITE","1","0","COMP_ESCAPE_SHELLINJ_001","0"
"0","E2E Security Tests","0","AGENT_RUNAWAY","1","0","RUNAWAY_LOOP_001","0"
"0","E2E Security Tests","0","EDGE_CASES","1","0","EDGE_NULLBYTE_001","0"
"0","E2E Security Tests","0","BENIGN","1","0","BENIGN_READ_001","0"
"0","E2E Security Tests","0","AGENT_RUNAWAY","1","0","RUNAWAY_RETRIES_001","0"
"0","E2E Security Tests","0","DANGEROUS_COMMAND","1","0","DANGCMD_SHUTDOWN_001","0"
"0","E2E Security Tests","0","DATA_EXFILTRATION","1","0","EXFIL_SSH_001","0"
"0","E2E Security Tests","0","DATA_EXFILTRATION","1","0","EXFIL_CURL_001","0"
"0","E2E Security Tests","0","DANGEROUS_COMMAND","1","0","DANGCMD_DD_001","0"
"0","E2E Security Tests","0","BENIGN","1","0","BENIGN_DC_NONTOOL_001","0"
"0","E2E Security Tests","0","SHELL_INJECTION","1","0","SHELLINJ_SEMICOLON_001","0"
"0","E2E Security Tests","0","EDGE_CASES","1","0","EDGE_UNICODE_001","0"
"0","E2E Security Tests","0","COMPOSITE","1","0","COMP_EXFIL_ESCAPE_001","0"
"0","E2E Security Tests","0","EDGE_CASES","1","0","EDGE_EMPTY_TOOL_001","0"
"0","E2E Security Tests","0","UNAUTHORIZED_MODEL","1","0","MODEL_CHANGE_001","0"
"0","E2E Security Tests","0","BENIGN","1","0","BENIGN_SC_NOTYPE_001","0"
"0","E2E Security Tests","0","UNAUTHORIZED_MODEL","1","0","MODEL_LOCAL_001","0"
"0","E2E Security Tests","0","BENIGN","1","0","BENIGN_LS_001","0"
"0","E2E Security Tests","0","WORKSPACE_ESCAPE","1","0","ESCAPE_PASSWD_001","0"
"0","E2E Security Tests","0","PLAINTEXT_THREATS","1","0","PLAIN_KV_ESCAPE_001","0"
"0","E2E Security Tests","0","EDGE_CASES","1","0","EDGE_WHITESPACE_001","0"
"0","E2E Security Tests","0","SUSPICIOUS_CONFIG","1","0","CONFIG_DISABLEAUTH_001","0"
"0","E2E Security Tests","0","AGENT_RUNAWAY","1","0","RUNAWAY_RECURSION_001","0"
"0","E2E Security Tests","0","SUSPICIOUS_CONFIG","1","0","CONFIG_BYPASS_001","0"
"0","E2E Security Tests","0","EDGE_CASES","1","0","EDGE_EMPTY_ARGS_001","0"
"0","E2E Security Tests","0","DATA_EXFILTRATION","1","0","EXFIL_AWS_001","0"
"0","E2E Security Tests","0","SHELL_INJECTION","1","0","SHELLINJ_SUBSHELL_001","0"
"0","E2E Security Tests","0","BENIGN","1","0","BENIGN_WRITE_001","0"
"0","E2E Security Tests","0","DATA_EXFILTRATION","1","0","EXFIL_ENV_001","0"
"0","E2E Security Tests","0","SHELL_INJECTION","1","0","SHELLINJ_PIPE_001","0"
"0","E2E Security Tests","0","UNAUTHORIZED_MODEL","1","0","MODEL_DOWNGRADE_001","0"
"0","E2E Security Tests","0","PLAINTEXT_THREATS","1","0","PLAIN_FREETEXT_DANGER_001","0"
"0","E2E Security Tests","0","WORKSPACE_ESCAPE","1","0","ESCAPE_TRAVERSAL_001","0"
"0","E2E Security Tests","0","SUSPICIOUS_CONFIG","1","0","CONFIG_INSECURE_001","0"
"0","E2E Security Tests","0","COMPOSITE","1","0","COMP_DANGER_EXFIL_ESCAPE_001","0"
"0","E2E Security Tests","0","PLAINTEXT_THREATS","1","0","PLAIN_RUNAWAY_001","0"
